Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,0.1uF,C_0402_1005Metric,113.55,-467.6,270,bottom
C3,1uF,C_0402_1005Metric,106.4,-463.05,180,bottom
C4,27pF,C_0402_1005Metric,119.96,-459.575,0,bottom
C5,27pF,C_0402_1005Metric,119.96,-460.625,0,bottom
C6,0.1uF,C_0402_1005Metric,109.65,-456.065,90,bottom
C7,0.1uF,C_0402_1005Metric,106.435,-466,180,bottom
C9,10uF,C_0402_1005Metric,113.625,-418.79,0,bottom
C10,0.1uF,C_0402_1005Metric,97.515,-452.7,0,bottom
C11,100uF,C_1210_3225Metric,112.42,-434.21,90,bottom
C12,1uF,C_0402_1005Metric,106.415,-464.95,180,bottom
C13,0.1uF,C_0402_1005Metric,119.975,-463.775,0,bottom
C14,0.1uF,C_0402_1005Metric,106.365,-462.05,180,bottom
C15,0.1uF,C_0402_1005Metric,119.975,-462.725,0,bottom
C16,0.1uF,C_0402_1005Metric,113.85,-456.065,90,bottom
C17,0.1uF,C_0402_1005Metric,109.5,-467.665,270,bottom
F1,Polyfuse,Fuse_1206_3216Metric,111.82,-415.47,90,bottom
IC1,RP2040,RP2040-QFN-56,112.55,-462.05,270,bottom
IC2,W25Q128JVSIM,SOIC127P790X216-8N,101.15,-456.8,180,bottom
J32,USB_C_Receptacle_USB2.0,USB_C_Receptacle_Palconn_UTC16-G,111.98,-391.165,0,bottom
R1,27.4,R_0402_1005Metric,109.625,-447.135,90,bottom
R2,27.4,R_0402_1005Metric,110.7,-447.15,90,bottom
R3,10k,R_0402_1005Metric,102.465,-452.7,0,bottom
R4,5.1K,R_0402_1005Metric,114.6,-467.615,90,bottom
R6,1k,R_0402_1005Metric,119.96,-461.675,0,bottom
R7,10K,R_0402_1005Metric,104.75,-452.7,0,bottom
R8,5.1k,R_0402_1005Metric,118.61,-390.475,0,bottom
R9,5.1k,R_0402_1005Metric,118.61,-391.475,180,bottom
R17,5.1K,R_0402_1005Metric,117.025,-467.6,90,bottom
U1,AMS1117-3.3_SOT223,SOT229P700X180-4N,113.92,-427.39,0,bottom
Y1,ABLS-12.000MHZ-B4-T,HC%2f49US-(AT49)_1,124.9,-461.35,90,bottom
